id,name,type,opening_hour,rating,address,telephone,lat,long,image_path
1,บ้านเฮง,อาหารเช้า,06.00 - 21.00,4.4,54/2 ถนน กลางเมือง ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น,092-626-2236,16.434381992182,102.835886432095,/img/restaurant/1.jpeg
2,มีกินฟาร์ม MEKIN FARM,อาหารอีสาน,09.30 - 17.30,5.0,114 ม.7 บ้านโคกกลาง ต.จระเข้ อ.หนองเรือ ขอนแก่น,061-695-9926,16.4674889734458,102.541710466442,/img/restaurant/2.jpeg
3,ประไพร,อาหารอีสาน,11.00 - 21.00,3.9,345/1-2 ถนนสนามบิน อำเภอเมืองขอนแก่น ขอนแก่น,081-974-9853,16.4607184822338,102.785539371164,/img/restaurant/3.jpeg
4,ประสิทธิ์โภชนา,อาหารอีสาน,09.30 - 14.00,4.3,44/4 ถนน อำมาตย์ อำเภอเมืองขอนแก่น ขอนแก่น,093-664-5622,16.4343557050667,102.833368671164,/img/restaurant/4.jpeg
5,โสเจ๊งโภชนา (บ้านไผ่),อาหารอีสาน,08.00 - 21.00,3.8,599/3-4 ม.2 ถ.แจ้งสนิท ต.ในเมือง อ.บ้านไผ่ ขอนแก่น,04-327-4031,16.0581963532082,102.736571799983,/img/restaurant/5.jpeg
6,ก๋วยเตี๋ยวเนื้อเฮียจ่อย,ก๋วยเตี๋ยว,09.00 - 15.00,4.5,127 ม.20 ถ.กสิกรทุ่งสร้าง ต.ศิลา อ.เมือง ขอนแก่น,083-288-7406,16.4587785735127,102.844405313492,/img/restaurant/6.jpeg
7,โจ๊ก ก๋วยจั๊บ ต้มเส้น บัตรคิว,ก๋วยเตี๋ยว,15.00 - 24.00,4.3,ถนนหน้าเมือง อำเภอเมืองขอนแก่น ขอนแก่น,086-646-5056,16.4293422417598,102.833754540476,/img/restaurant/7.jpeg
8,ไก่ย่างระเบียบ เขาสวนกวาง,อาหารอีสาน,08.00 - 18.00,3.9,99 ถ. มิตรภาพ ตำบล คำม่วง อำเภอเขาสวนกวาง ขอนแก่น,081-662-4884,16.8542375597853,102.858929759524,/img/restaurant/8.jpeg
9,ขอนแก่น คอหมูย่าง,อาหารอีสาน,09.00 - 20.00,4.5,ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น,094-364-9955,16.4351056141718,102.83618225582,/img/restaurant/9.jpeg
10,คุณแจง ก๋วยเตี๋ยวปากหม้อเข้าวัง,ก๋วยเตี๋ยว,09.00 - 16.00,4.4,246 4 ถนน ถนนหลังเมือง ตำบลในเมือง อำเภอเมืองขอนแก่น,085-000-1668,16.4249686740689,102.83646155582,/img/restaurant/10.jpeg
11,เล้งเย็นตาโฟ,ก๋วยเตี๋ยว,07.00 - 14.30,3.6,ถนน กลางเมือง ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น,086-580-1259,16.4350157504162,102.835995910239,/img/restaurant/11.jpeg
12,เฝอท่าบ่อ,ก๋วยเตี๋ยว,08.00 - 17.00,4.4,3/12 ถ.ศรีนวล ต.ในเมือง อ.เมือง ขอนแก่น,081-544-2599,16.4237074393102,102.837233857672,/img/restaurant/12.jpeg
13,ศรีเรือนผัดไทย (สาขาถนนรื่นจิตร),ก๋วยเตี๋ยว,15.00 - 21.30,4.3,48 ถ.รื่นจิตร ต.ในเมือง อ.เมือง ขอนแก่น,081-369-3297,16.4254992105535,102.839194128836,/img/restaurant/13.jpeg
14,จ้วด คาเฟ่,อาหารไทย,11:00 - 22:00,4.1,123 หมู่ที่ 1 ถนนเลี่ยงเมืองขอนแก่น ตำบล ศิลา อำเภอเมืองขอนแก่น ขอนแก่น,091-063-4589,16.5021525727975,102.87404754418,/img/restaurant/14.jpeg
15,เดอะมู๋ไม่เพรา,อาหารไทย,11:00 - 21:00,4.0,ตำบล ศิลา อำเภอเมืองขอนแก่น ขอนแก่น,086-645-8367,16.4836892546783,102.8146142,/img/restaurant/15.jpeg
16,มิตรภาพลาบก้อย,อาหารอีสาน,16:00 - 23:00,4.1,"105, 16 ถ. มิตรภาพ ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น",081-054-1716,16.4601048805597,102.832047185979,/img/restaurant/16.jpeg
17,ฌานไม้,อาหารไทย,07:00 - 20:00,4.8,397 399 ถนนหลังเมือง ตำบลในเมือง เมือง ขอนแก่น,095-169-2231,16.4280182260512,102.837922095768,/img/restaurant/17.jpeg
18,ตำกระเทย สาเกต,อาหารอีสาน,10:30 - 22:00,4.5,88 89 หมู่ที่ 20 ตำบลบ้านเป็ด อำเภอเมืองขอนแก่น ขอนแก่น,065-962-8949,16.4519579019465,102.785011166932,/img/restaurant/18.jpeg
19,ศรีจันทร์ นมสด,ขนมหวาน,15:30 - 23:30,4.4,345 ถ. ศรีจันทร์ ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น,095-596-1695,16.4309212789624,102.83411366508,/img/restaurant/19.jpeg
20,ติ๋มนมสด,ขนมหวาน,16:30 - 23:00,4.5,"4, 12 ถนนชวนชื่น ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น",064-919-2462,16.4262788093446,102.836406938096,/img/restaurant/20.jpeg
